material_slug,property_group,property_key,value_min,value_max,value_nominal,unit,test_standard,test_conditions,grade_name,source_title,source_url_or_doi,source_locator,verbatim_quote,note_en,verification_status
hdpe,mechanical,tensile_strength,20.0,38.0,27.0,MPa,ASTM D638,23°C; Type IV; 50 mm/min,Marlex 9018,Marlex 9018 High-Density Polyethylene TDS,https://www.cpchem.com/sites/default/files/2020-10/TDS%20-%20Marlex%C2%AE%209018%20Polyethylene.pdf,Page 1 - Mechanical Properties,"Tensile Strength at Yield: 27 MPa (3900 psi)",Yield strength on injection molded specimen,verified
hdpe,mechanical,young_modulus,0.80,1.40,1.05,GPa,ASTM D638,23°C; 5 mm/min,Marlex 9006,Chevron Phillips Marlex 9006 HDPE TDS,https://www.lookpolymers.com/pdf/Chevron-Phillips-Marlex-9006-HDPE-Injection-Molding-Resin.pdf,Page 1 - Mechanical,"Tensile Modulus: 1.05 GPa (152 ksi)",High stiffness structural polyolefin,verified
hdpe,mechanical,elongation_at_break,100.0,900.0,700.0,%,ASTM D638,23°C; Type IV; 50 mm/min,Marlex 9018,Marlex 9018 High-Density Polyethylene TDS,https://www.cpchem.com/sites/default/files/2020-10/TDS%20-%20Marlex%C2%AE%209018%20Polyethylene.pdf,Page 1 - Mechanical Properties,"Tensile Elongation at Break: > 500 %",Nominal ductile ultimate strain,verified
hdpe,mechanical,flexural_modulus,0.90,1.50,1.15,GPa,ASTM D790,23°C; 2% secant,Marlex 9018,Marlex 9018 High-Density Polyethylene TDS,https://www.cpchem.com/sites/default/files/2020-10/TDS%20-%20Marlex%C2%AE%209018%20Polyethylene.pdf,Page 1 - Mechanical Properties,"Flexural Modulus (2% Secant): 1150 MPa (167 ksi)",Converted to GPa (1150 MPa = 1.15 GPa),verified
hdpe,mechanical,hardness_shore_d,60.0,70.0,66.0,Shore D,ASTM D2240,23°C; 15 s,Marlex 9018,Marlex 9018 High-Density Polyethylene TDS,https://www.cpchem.com/sites/default/files/2020-10/TDS%20-%20Marlex%C2%AE%209018%20Polyethylene.pdf,Page 1 - Mechanical Properties,"Durometer Hardness (Shore D): 66",High surface indentation resistance,verified
hdpe,thermal,tg,-130.0,-110.0,-120.0,°C,DMA / DSC,1 Hz; gamma transition,Neat Baseline,Handbook of Polyethylene,https://epdf.pub/handbook-of-polyethylene.html,Chapter 4 - Table 3,"Glass transition temperature: -120 °C",Amorphous relaxation in crystalline matrix,verified
hdpe,thermal,vicat,115.0,130.0,123.0,°C,ASTM D1525,Rate B (50 N; 120 °C/h),Marlex 9018,Marlex 9018 High-Density Polyethylene TDS,https://www.cpchem.com/sites/default/files/2020-10/TDS%20-%20Marlex%C2%AE%209018%20Polyethylene.pdf,Page 1 - Thermal Properties,"Vicat Softening Temperature: 123 °C (253 °F)",High heat deflection baseline,verified
hdpe,thermal,conductivity,0.44,0.52,0.48,W/m·K,ASTM C177,23°C,Neat Baseline,Handbook of Polyethylene,https://epdf.pub/handbook-of-polyethylene.html,Chapter 6 - Table 8,"Thermal conductivity: 8-10 x 10^-4 cal/cm*s*°C (0.48 W/m·K)",Enhanced by high lamellar crystallinity,verified
hdpe,thermal,cte,110.0,150.0,125.0,µm/°C,ASTM D696,20°C to 60°C,Neat Baseline,Polymer Data Handbook,https://epdf.pub/polymer-data-handbook2147988cd0d60fcb8ec55ade821c479b26524.html,Section: Polyethylene - Thermal,"Linear coefficient of thermal expansion: 11-13 x 10^-5 /K",Expressed in canonical µm/m·°C (125 µm/°C),verified
hdpe,electrical,dielectric_constant,2.3,2.4,2.35,dimensionless,IEC 60250,1 MHz; 23°C,Neat Baseline,Polymer Data Handbook,https://epdf.pub/polymer-data-handbook2147988cd0d60fcb8ec55ade821c479b26524.html,Section: Dielectric Constants,"Dielectric constant at 1 MHz: 2.35",Non-polar high insulation matrix,verified
hdpe,electrical,volume_resistivity,1e+16,1e+18,1e+17,Ω·cm,IEC 60093,23°C; 500 V,Neat Baseline,Handbook of Polyethylene,https://epdf.pub/handbook-of-polyethylene.html,Chapter 7 - Electrical,"Volume resistivity: > 10^17 ohm-cm",High dielectric insulation properties,verified
hdpe,processing,process_temp,180.0,260.0,210.0,°C,Internal Processing,Melt temperature,Marlex 9018,Marlex 9018 High-Density Polyethylene TDS,https://www.cpchem.com/sites/default/files/2020-10/TDS%20-%20Marlex%C2%AE%209018%20Polyethylene.pdf,Page 1 - Molding Guidelines,"Stock/Melt Temperature: 190 - 240 °C",Recommended injection temperature,verified
hdpe,physical,refractive_index,1.52,1.54,1.535,dimensionless,ASTM D542,23°C; Na-D (589 nm),Neat Baseline,Formerra Polyethylene Guide,https://www.formerra.com/products/chemistries/polyethylene-pe,Design and Optics,"Refractive index ~1.51-1.54 (density dependent)",Elevated refractive index due to dense crystals,verified
hdpe,academic,monomer_name,null,null,null,none,Nomenclature,IUPAC / CAS,Ethylene,Polymer Data Handbook,https://epdf.pub/polymer-data-handbook2147988cd0d60fcb8ec55ade821c479b26524.html,Section: Ethylene Polymers,"Monomer: Ethylene (CAS 74-85-1)",Monomer identifier reference,verified
lldpe,physical,density,0.915,0.930,0.920,g/cm³,ASTM D792,23°C,Dowlex 2045G,DOWLEX 2045G Linear Low Density Polyethylene TDS,https://www.scribd.com/document/499093049/Product-pdf-71351,Page 1 - Physical Properties,"Density / Specific Gravity: 0.920 ASTM D792",Octene-1 copolymer blown/cast film baseline,verified
lldpe,processing,mfi,0.5,5.0,2.0,g/10min,ASTM D1238,190°C / 2.16 kg,Dowlex 2045G,DOWLEX 2045G Linear Low Density Polyethylene TDS,https://www.scribd.com/document/499093049/Product-pdf-71351,Page 1 - Physical Properties,"Melt Mass-Flow Rate (190°C/2.16 kg): 2.0 g/10 min",Nominal film resin flow index,verified
lldpe,mechanical,tensile_strength,12.0,35.0,22.0,MPa,ASTM D638,23°C; 50 mm/min,Dowlex 2553,DOWLEX 2553 Technical Data Sheet,https://www.scribd.com/document/901534442/400-00007128en-dowlex-2553-tds-3,Page 1 - Mechanical Properties,"Tensile Strength Yield: 12.4 MPa; Break: 9.79 MPa",High-ductility linear copolymer,verified
lldpe,mechanical,young_modulus,0.25,0.65,0.34,GPa,ASTM D638,23°C; 2% secant,Dowlex 2553,DOWLEX 2553 Technical Data Sheet,https://www.scribd.com/document/901534442/400-00007128en-dowlex-2553-tds-3,Page 1 - Mechanical Properties,"Tensile Modulus - 2% Secant: 344 MPa (49800 psi)",Converted to GPa (344 MPa = 0.344 GPa),verified
lldpe,mechanical,elongation_at_break,400.0,900.0,800.0,%,ASTM D638,23°C; 50 mm/min,Dowlex 2553,DOWLEX 2553 Technical Data Sheet,https://www.scribd.com/document/901534442/400-00007128en-dowlex-2553-tds-3,Page 1 - Mechanical Properties,"Tensile Elongation Break: 800 %",Exceptional strain-hardening capacity,verified
lldpe,mechanical,flexural_modulus,0.30,0.70,0.66,GPa,ASTM D790,23°C; 2% secant,Dowlex 2553,DOWLEX 2553 Technical Data Sheet,https://www.scribd.com/document/901534442/400-00007128en-dowlex-2553-tds-3,Page 1 - Mechanical Properties,"Flexural Modulus: 659 MPa (95600 psi)",Converted to GPa (659 MPa = 0.659 GPa),verified
lldpe,mechanical,hardness_shore_d,45.0,60.0,52.0,Shore D,ASTM D2240,23°C; 15 s,Dowlex Baseline,Handbook of Polyethylene,https://epdf.pub/handbook-of-polyethylene.html,Chapter 5 - Mechanical,"Shore D hardness for LLDPE (0.920 g/cm3): 50-55",Intermediate hardness profile,verified
lldpe,thermal,tg,-130.0,-100.0,-115.0,°C,DMA / DSC,1 Hz; gamma transition,Neat Baseline,Handbook of Polyethylene,https://epdf.pub/handbook-of-polyethylene.html,Chapter 4 - Thermal,"Glass transition (gamma-transition): -115 °C",Short-chain branched amorphous segments,verified
lldpe,thermal,vicat,95.0,115.0,104.0,°C,ASTM D1525,Rate B (50 N; 120 °C/h),Dowlex 2045G,DOWLEX 2045G Linear Low Density Polyethylene TDS,https://www.scribd.com/document/499093049/Product-pdf-71351,Page 2 - Thermal,"Vicat Softening Temperature: 104 °C",Higher thermal resistance than LDPE,verified
lldpe,thermal,conductivity,0.32,0.40,0.36,W/m·K,ASTM C177,23°C,Neat Baseline,Handbook of Polyethylene,https://epdf.pub/handbook-of-polyethylene.html,Chapter 6 - Table 8,"Thermal conductivity: 6.5-7.5 x 10^-4 cal/cm*s*°C (0.36 W/m·K)",Conversion factor 418.4 applied,verified
lldpe,thermal,cte,140.0,190.0,165.0,µm/°C,ASTM D696,20°C to 60°C,Neat Baseline,Polymer Data Handbook,https://epdf.pub/polymer-data-handbook2147988cd0d60fcb8ec55ade821c479b26524.html,Section: Polyethylene - Thermal,"Thermal expansion coefficient: 15-18 x 10^-5 /K",Expressed in canonical µm/m·°C (165 µm/°C),verified
lldpe,electrical,dielectric_constant,2.25,2.35,2.30,dimensionless,IEC 60250,1 MHz; 23°C,Neat Baseline,Polymer Data Handbook,https://epdf.pub/polymer-data-handbook2147988cd0d60fcb8ec55ade821c479b26524.html,Section: Dielectric Constants,"Dielectric constant at 1 MHz: 2.30",Non-polar dielectric matrix,verified
lldpe,electrical,volume_resistivity,1e+15,1e+18,1e+16,Ω·cm,IEC 60093,23°C; 500 V,Neat Baseline,Handbook of Polyethylene,https://epdf.pub/handbook-of-polyethylene.html,Chapter 7 - Electrical,"Volume resistivity: > 10^16 ohm-cm",High electrical insulation,verified
lldpe,processing,process_temp,170.0,230.0,200.0,°C,Internal Processing,Extrusion melt temperature,Dowlex 2045G,DOWLEX 2045G Linear Low Density Polyethylene TDS,https://www.scribd.com/document/499093049/Product-pdf-71351,Page 2 - Extrusion Guidelines,"Melt temperature: 180 to 220 °C",High shear-viscosity processing envelope,verified
lldpe,physical,refractive_index,1.51,1.53,1.520,dimensionless,ASTM D542,23°C; Na-D (589 nm),Neat Baseline,Structure and mid-infrared optical properties of spin-coated LLDPE,https://opg.optica.org/ome/fulltext.cfm?uri=ome-12-6-2168,Section 3 - Results and Discussion,"Refractive index of LLDPE thin films: ~1.52",Optical dispersion baseline at 589 nm,verified
lldpe,academic,monomer_name,null,null,null,none,Nomenclature,IUPAC / CAS,Ethylene + 1-Octene,Polymer Data Handbook,https://epdf.pub/polymer-data-handbook2147988cd0d60fcb8ec55ade821c479b26524.html,Section: Ethylene Copolymers,"Comonomers: Ethylene (CAS 74-85-1) and 1-Octene (CAS 111-66-0)",Alpha-olefin copolymer identifier,verified
